id,channel_id,platform,channel_name
1,/event-summary?keywords=Hyperliquid%2CHYPE%2CHyperEVM%2CHIP-3%2CHyperliquidX%2Chouse%20of%20all%20finance&timeWindow=24h&searchType=or,elfa,Hyperliquid
3,/trending-narratives?timeFrame=day&maxNarratives=20&maxTweetsPerNarrative=20,elfa,trending-narratives
20,c4dotgg,telegram,@C4dotgg
21,chungdailynote,telegram,@chungdailynote
22,TreeNewsFeed,telegram,@TreeNewsFeed
23,defillama_tg,telegram,@defillama_tg
24,unfolded,telegram,@unfolded
25,infinityhedge,telegram,@infinityhedge
26,SolidIntelX,telegram,@SolidIntelX
27,AGGRNEWSWIRE,telegram,@AGGRNEWSWIRE
28,iansintel,telegram,@iansintel
29,ZoomerfiedNews,telegram,@ZoomerfiedNews
30,shoalresearch,telegram,@shoalresearch
31,QCPbroadcast,telegram,@QCPbroadcast
32,leviathan_news,telegram,@leviathan_news
33,cookiesreads,telegram,@cookiesreads
34,wublockchainenglish,telegram,@wublockchainenglish
35,chaincatalystlaunchy,telegram,@chaincatalystlaunchy
36,HypurrLiquidCalls,telegram,@HypurrLiquidCalls
37,leftcurvemaxing,telegram,@leftcurvemaxing
39,bestyieldsai,telegram,@bestyieldsai
40,y22_trades,telegram,@y22_trades
41,smolinsanity,telegram,@smolinsanity
42,MaestroMonologues,telegram,@MaestroMonologues
43,BullpenBrief,telegram,@BullpenBrief
44,itscorrekt,telegram,@itscorrekt
45,shinchandefi,telegram,@shinchandefi
46,TrissysEdge,telegram,@TrissysEdge
47,thecallmaster,telegram,@thecallmaster
48,hyperfomosignal,telegram,@hyperfomosignal
49,ahboyashreads,telegram,@ahboyashreads
50,mlmonchain,telegram,@mlmonchain
51,whoiskevinradar,telegram,@whoiskevinradar